DATE,TIME,DATE.TIME,PLACE,PM2.5,DateTime
12/10/2015,14:30:00,12/10/2015 14:30,B801,52,2015-12-10 14:30:00
12/10/2015,14:35:00,12/10/2015 14:35,B801,51.6,2015-12-10 14:35:00
12/10/2015,14:40:00,12/10/2015 14:40,B801,51.5,2015-12-10 14:40:00
12/10/2015,14:45:00,12/10/2015 14:45,B801,53,2015-12-10 14:45:00
12/10/2015,14:50:00,12/10/2015 14:50,B801,54.2,2015-12-10 14:50:00
12/10/2015,14:55:00,12/10/2015 14:55,B801,53,2015-12-10 14:55:00
12/10/2015,15:00:00,12/10/2015 15:00,B801,52.6,2015-12-10 15:00:00
12/10/2015,15:05:00,12/10/2015 15:05,B801,51.5,2015-12-10 15:05:00
12/10/2015,15:10:00,12/10/2015 15:10,B801,53,2015-12-10 15:10:00
12/10/2015,15:15:00,12/10/2015 15:15,B801,53.9,2015-12-10 15:15:00
12/10/2015,15:20:00,12/10/2015 15:20,B801,52.3,2015-12-10 15:20:00
12/10/2015,15:25:00,12/10/2015 15:25,B801,52.7,2015-12-10 15:25:00
12/10/2015,15:30:00,12/10/2015 15:30,B801,54,2015-12-10 15:30:00
12/10/2015,15:35:00,12/10/2015 15:35,B801,52.5,2015-12-10 15:35:00
12/10/2015,15:40:00,12/10/2015 15:40,B801,52.8,2015-12-10 15:40:00
12/10/2015,15:45:00,12/10/2015 15:45,B801,52.9,2015-12-10 15:45:00
12/10/2015,15:50:00,12/10/2015 15:50,B801,52.5,2015-12-10 15:50:00
12/10/2015,15:55:00,12/10/2015 15:55,B801,52.5,2015-12-10 15:55:00
12/10/2015,16:00:00,12/10/2015 16:00,B801,53,2015-12-10 16:00:00
12/10/2015,16:05:00,12/10/2015 16:05,B801,53.9,2015-12-10 16:05:00
12/10/2015,16:10:00,12/10/2015 16:10,B801,53.6,2015-12-10 16:10:00
12/10/2015,16:15:00,12/10/2015 16:15,B801,52.5,2015-12-10 16:15:00
12/10/2015,16:20:00,12/10/2015 16:20,B801,53.4,2015-12-10 16:20:00
12/10/2015,16:25:00,12/10/2015 16:25,B801,51.7,2015-12-10 16:25:00
12/10/2015,16:30:00,12/10/2015 16:30,B801,53.3,2015-12-10 16:30:00
12/10/2015,16:35:00,12/10/2015 16:35,B801,51.9,2015-12-10 16:35:00
12/10/2015,16:40:00,12/10/2015 16:40,B801,52.8,2015-12-10 16:40:00
12/10/2015,16:45:00,12/10/2015 16:45,B801,52.8,2015-12-10 16:45:00
12/10/2015,16:50:00,12/10/2015 16:50,B801,51.1,2015-12-10 16:50:00
12/10/2015,16:55:00,12/10/2015 16:55,B801,52.6,2015-12-10 16:55:00
12/10/2015,17:00:00,12/10/2015 17:00,B801,54.2,2015-12-10 17:00:00
12/10/2015,17:05:00,12/10/2015 17:05,B801,53.7,2015-12-10 17:05:00
12/10/2015,17:10:00,12/10/2015 17:10,B801,52.8,2015-12-10 17:10:00
12/10/2015,17:15:00,12/10/2015 17:15,B801,52.7,2015-12-10 17:15:00
12/10/2015,17:20:00,12/10/2015 17:20,B801,51.1,2015-12-10 17:20:00
12/10/2015,17:25:00,12/10/2015 17:25,B801,51.2,2015-12-10 17:25:00
12/10/2015,17:30:00,12/10/2015 17:30,B801,52.1,2015-12-10 17:30:00
12/10/2015,17:35:00,12/10/2015 17:35,B801,52.5,2015-12-10 17:35:00
12/10/2015,17:40:00,12/10/2015 17:40,B801,50.6,2015-12-10 17:40:00
12/10/2015,17:45:00,12/10/2015 17:45,B801,50.6,2015-12-10 17:45:00
12/10/2015,17:50:00,12/10/2015 17:50,B801,46.7,2015-12-10 17:50:00
12/10/2015,17:55:00,12/10/2015 17:55,B801,49.8,2015-12-10 17:55:00
12/10/2015,18:00:00,12/10/2015 18:00,B801,48.4,2015-12-10 18:00:00
12/10/2015,18:05:00,12/10/2015 18:05,B801,48.4,2015-12-10 18:05:00
12/10/2015,18:10:00,12/10/2015 18:10,B801,47.8,2015-12-10 18:10:00
12/10/2015,18:15:00,12/10/2015 18:15,B801,48,2015-12-10 18:15:00
12/10/2015,18:20:00,12/10/2015 18:20,B801,48,2015-12-10 18:20:00
12/10/2015,18:25:00,12/10/2015 18:25,B801,47.2,2015-12-10 18:25:00
12/10/2015,18:30:00,12/10/2015 18:30,B801,47.9,2015-12-10 18:30:00
12/10/2015,18:35:00,12/10/2015 18:35,B801,46.5,2015-12-10 18:35:00
12/10/2015,18:40:00,12/10/2015 18:40,B801,46.2,2015-12-10 18:40:00
12/10/2015,18:45:00,12/10/2015 18:45,B801,47.9,2015-12-10 18:45:00
12/10/2015,18:50:00,12/10/2015 18:50,B801,49.3,2015-12-10 18:50:00
12/10/2015,18:55:00,12/10/2015 18:55,B801,47.6,2015-12-10 18:55:00
12/10/2015,19:00:00,12/10/2015 19:00,B801,48.9,2015-12-10 19:00:00
12/10/2015,19:05:00,12/10/2015 19:05,B801,47.2,2015-12-10 19:05:00
12/10/2015,19:10:00,12/10/2015 19:10,B801,48.2,2015-12-10 19:10:00
12/10/2015,19:15:00,12/10/2015 19:15,B801,47.5,2015-12-10 19:15:00
12/10/2015,19:20:00,12/10/2015 19:20,B801,50.5,2015-12-10 19:20:00
12/10/2015,19:25:00,12/10/2015 19:25,B801,50.5,2015-12-10 19:25:00
12/10/2015,19:30:00,12/10/2015 19:30,B801,49.1,2015-12-10 19:30:00
12/10/2015,19:35:00,12/10/2015 19:35,B801,48.1,2015-12-10 19:35:00
12/10/2015,19:40:00,12/10/2015 19:40,B801,49.9,2015-12-10 19:40:00
